Symbol,Name,AUM,Asset Class,Leverage,Mgmnt Fee,Dividend(a),Div Yield
ITB ,US Home Construction Ishares ETF ,1274311500,Equity ,Long ,0.43%,0.21,0.54%
FDIS ,Fidelity Consumer Disc MSCI ETF ,725137500,Equity ,Long ,0.08%,0.54,1.14%
XHB ,S&P Homebuilders SPDR ,686536500,Equity ,Long ,0.35%,0.42,0.98%
XRT ,S&P Retail SPDR ,388808700,Equity ,Long ,0.35%,0.66,1.52%
PKB ,Dynamic Building & Construction Invesco ETF ,114975000,Equity ,Long ,0.58%,0.13,0.41%
PBS ,Dynamic Media Invesco ETF ,77000000,Equity ,Long ,0.63%,0.22,0.63%
RTH ,Retail ETF Vaneck ,65402500,Equity ,Long ,0.35%,0.98,0.86%
CLIX ,Proshares Long Online/Short Stores ETF ,52009300,Equity ,Long ,0.65%,N/A ,0.00%
NAIL ,Direxion Homebuild & Suppliers Bull 3X ,44703000,Equity ,Triple-Long ,0.99%,0.18,0.36%
JHMC ,JH Consumer Disc Multifactor ETF ,40769000,Equity ,Long ,0.40%,0.41,1.19%
UCC ,Ultra Consumer Services Proshares ,27146300,Equity ,Double-Long ,0.95%,0.18,0.15%
BJK ,Gaming ETF Vaneck ,26978000,Equity ,Long ,0.66%,1.13,2.96%
CARZ ,Nasdaq Global Auto Index Fund FT ,18130800,Equity ,Long ,0.70%,0.88,2.70%
RETL ,Retail Bull 3X Direxion ,16484000,Equity ,Triple-Long ,1.09%,0.27,1.07%
PETZC ,Gabelli Gabelli Pet Parent Fund Nextshares ,12496300,Equity ,Long ,0.90%,0.03,0.03%
ORG ,Organics ETF ,10256000,Equity ,Long ,0.35%,0.37,1.45%
FTXD ,Nasdaq Retail ETF FT ,8088500,Equity ,Long ,0.60%,0.25,1.08%
PMR ,Dynamic Retail Invesco ETF ,7530000,Equity ,Long ,0.63%,0.36,0.95%
EMTY ,Proshares Decline of The Retail Store ETF ,5647500,Equity ,Short ,0.65%,0.24,0.64%
CNDF ,Consumer Discretionary Ishares Edge MSCI Multifa ,3509000,Equity ,Long ,0.35%,0.36,1.04%
LOGO ,Global X Iconic U.S. Brands ETF ,3348000,Equity ,Long ,0.48%,0.04,0.22%
HOML ,Etracs MT Reset 2X ISE Exc Homebuilders ETN ,2136900,Equity ,Double-Long ,0.85%,N/A ,0.00%
SCC ,Ultrashort Consumer Services Proshares ,496500,Equity ,Double-Short ,0.95%,0.34,2.51%
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
