Symbol,Name,AUM,Asset Class,Leverage,Mgmnt Fee,Dividend(a),Div Yield
VNQ ,Real Estate Vanguard ETF ,"34,807,529,600",Equity ,Long ,0.12%,3.54,3.95%
SCHH ,Schwab US REIT ETF ,"5,628,548,000",Equity ,Long ,0.07%,1.29,2.83%
IYR ,US Real Estate Ishares ETF ,"4,403,708,800",Equity ,Long ,0.43%,2.54,2.83%
RWR ,DJ REIT ETF SPDR ,"2,619,994,200",Equity ,Long ,0.25%,3.65,3.61%
ICF ,Cohen & Steers REIT Ishares ETF ,"2,318,982,800",Equity ,Long ,0.34%,2.91,2.51%
RWO ,DJ Global Real Estate ETF SPDR ,"2,311,314,000",Equity ,Long ,0.50%,1.68,3.28%
RWX ,DJ Intl Real Estate ETF SPDR ,"2,246,131,000",Equity ,Long ,0.59%,1.92,4.86%
REM ,Mortgage Real Estate Ishares ETF ,"1,306,609,500",Equity ,Long ,0.48%,3.81,8.88%
FREL ,Fidelity Real Estate MSCI ETF ,"829,966,500",Equity ,Long ,0.08%,1.24,4.63%
REZ ,Residential Real Estate Ishares ETF ,"486,459,000",Equity ,Long ,0.48%,2.15,2.85%
IFGL ,Intl Developed Real Estate Ishares ETF ,"404,852,000",Equity ,Long ,0.48%,1.07,3.51%
KBWY ,KBW Premium Yield Equity REIT Invesco ETF ,"323,892,000",Equity ,Long ,0.35%,2.04,6.78%
SRET ,G-X Super Dividend REIT ETF ,"253,402,500",Equity ,Long ,0.59%,1.18,7.88%
FRI ,S&P REIT Index ,"160,839,000",Equity ,Long ,0.48%,0.73,2.86%
URE ,Ultra Real Estate Proshares ,"139,649,500",Equity ,Double-Long ,0.95%,1.05,1.31%
WPS ,Intl Devd Property Ishares ETF ,"128,238,000",Equity ,Long ,0.48%,1.6,4.13%
DRW ,Global Ex-US Real Estate Wisdomtree ,"108,290,000",Equity ,Long ,0.58%,1.79,5.80%
PSR ,Active U.S. Real Estate Invesco ETF ,"78,166,000",Equity ,Long ,0.35%,2.19,2.38%
ROOF ,IQ US Real Estate Smallcap ETF ,"67,797,000",Equity ,Long ,0.70%,1.57,6.25%
TAO ,China Real Estate Invesco ETF ,"62,100,000",Equity ,Long ,0.70%,1.9,6.62%
NURE ,Nushares Short-Term REIT ETF ,"55,241,000",Equity ,Long ,0.35%,1.1,3.69%
GRI ,Global Realty Majors Cohen & Steers ETF ,"53,020,000",Equity ,Long ,0.55%,1.35,2.80%
FFR ,FTSE En Dev Mkts Rel Est First Trust ,"51,061,500",Equity ,Long ,0.60%,1.46,3.00%
DRN ,Real Estate Bull 3X Direxion ,"47,372,500",Equity ,Triple-Long ,1.04%,0.48,1.77%
PFFR ,Infracap REIT Preferred ETF ,"26,050,500",Equity ,Long ,0.45%,1.43,5.74%
IFEU ,Europe Developed Real Estate Ishares ETF ,"25,942,000",Equity ,Long ,0.48%,1.57,4.22%
SRS ,Ultrashort Real Estate Proshares ,"19,663,200",Equity ,Double-Short ,0.95%,0.32,1.55%
DRV ,Real Estate Bear 3X Direxion ,"16,955,600",Equity ,Triple-Short ,1.10%,0.41,1.33%
WREI ,Wilshire US REIT Invesco ETF ,"12,365,000",Equity ,Long ,0.32%,1.35,2.75%
DXJR ,Wisdomtree Japan Real Estate Hedged Fund ,"4,353,000",Equity ,Long ,0.48%,0.23,1.61%
