Symbol,Name,AUM,Avg Volume
SPY,SPDR S&P 500 ETF,"$279,477,625.56 ","67,461,109"
IVV,iShares Core S&P 500 ETF,"$184,887,090.64 ","3,598,722"
VTI,Vanguard Total Stock Market ETF,"$120,845,792.97 ","2,472,492"
VOO,Vanguard S&P 500 ETF,"$120,178,358.58 ","2,696,516"
QQQ,Invesco QQQ,"$76,501,997.97 ","32,553,898"
VEA,Vanguard FTSE Developed Markets ETF,"$72,731,260.11 ","7,750,572"
IEFA,iShares Core MSCI EAFE ETF,"$65,455,923.26 ","6,768,994"
AGG,iShares Core U.S. Aggregate Bond ETF,"$64,324,057.28 ","3,914,064"
VWO,Vanguard FTSE Emerging Markets ETF,"$64,132,336.97 ","12,833,557"
EFA,iShares MSCI EAFE ETF,"$60,634,979.63 ","24,366,385"
IEMG,iShares Core MSCI Emerging Markets ETF,"$58,853,163.67 ","13,947,744"
IJH,iShares Core S&P Mid-Cap ETF,"$51,148,452.61 ","931,950"
VTV,Vanguard Value ETF,"$49,978,917.05 ","1,195,250"
IWF,iShares Russell 1000 Growth ETF,"$46,579,635.15 ","1,510,542"
IJR,iShares Core S&P Small-Cap ETF,"$44,950,230.07 ","2,680,656"
IWM,iShares Russell 2000 ETF,"$44,345,419.82 ","18,308,621"
VUG,Vanguard Growth ETF,"$42,665,383.44 ","656,180"
BND,Vanguard Total Bond Market ETF,"$42,248,388.35 ","2,661,308"
IWD,iShares Russell 1000 Value ETF,"$39,709,000.21 ","1,549,792"
GLD,SPDR Gold Trust,"$37,351,959.56 ","8,581,141"
VIG,Vanguard Dividend Appreciation ETF,"$37,250,817.35 ","798,900"
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,"$36,380,749.29 ","10,898,516"
VNQ,Vanguard Real Estate Index Fund,"$34,382,348.66 ","5,013,306"
EEM,iShares MSCI Emerging Markets ETF,"$31,843,806.34 ","63,925,301"
USMV,iShares Edge MSCI Min Vol USA ETF,"$30,800,767.40 ","3,541,938"
VO,Vanguard Mid-Cap Index ETF,"$27,001,504.76 ","363,502"
VB,Vanguard Small Cap ETF,"$26,080,140.37 ","487,280"
XLF,Financial Select Sector SPDR Fund,"$25,545,345.18 ","43,653,383"
VYM,Vanguard High Dividend Yield ETF,"$25,287,886.28 ","861,722"
SHV,iShares Short Treasury Bond ETF,"$24,559,745.12 ","2,226,884"
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"$24,137,843.49 ","1,831,722"
IVW,iShares S&P 500 Growth ETF,"$24,116,342.27 ","453,900"
VCSH,Vanguard Short-Term Corporate Bond ETF,"$24,098,317.69 ","1,627,683"
VEU,Vanguard FTSE All-World ex-US ETF,"$23,991,551.52 ","2,096,716"
BSV,Vanguard Short-Term Bond ETF,"$22,466,511.29 ","1,373,827"
XLK,Technology Select Sector SPDR Fund,"$22,322,560.25 ","12,649,847"
DIA,SPDR Dow Jones Industrial Average ETF,"$22,233,827.34 ","3,134,462"
ITOT,iShares Core S&P Total U.S. Stock Market ETF,"$21,920,506.62 ","1,471,912"
VGT,Vanguard Information Technology ETF,"$21,557,917.97 ","613,750"
IWB,iShares Russell 1000 ETF,"$21,391,483.08 ","889,042"
IWR,iShares Russell Midcap ETF,"$20,394,857.14 ","1,727,877"
TIP,iShares TIPS Bond ETF,"$20,041,227.44 ","1,178,031"
MDY,SPDR S&P MidCap 400 ETF,"$19,853,188.80 ","928,822"
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,"$19,603,647.82 ","21,198,029"
BNDX,Vanguard Total International Bond ETF,"$19,097,612.17 ","1,299,473"
SDY,SPDR S&P Dividend ETF,"$19,043,265.04 ","506,142"
SCHF,Schwab International Equity ETF,"$18,443,548.76 ","2,315,639"
MBB,iShares MBS Bond ETF,"$18,201,148.55 ","935,420"
SCHX,Schwab U.S. Large-Cap ETF,"$17,773,562.01 ","1,009,639"
DVY,iShares Select Dividend ETF,"$17,676,721.74 ","413,984"
XLV,Health Care Select Sector SPDR Fund,"$17,423,672.42 ","11,220,442"
SHY,iShares 1-3 Year Treasury Bond ETF,"$16,735,180.08 ","2,935,353"
IEF,iShares 7-10 Year Treasury Bond ETF,"$16,654,492.03 ","4,061,692"
RSP,Invesco S&P 500® Equal Weight ETF,"$16,550,333.05 ","637,741"
PFF,iShares Preferred and Income Securities ETF,"$15,897,033.15 ","3,250,194"
SCHB,Schwab U.S. Broad Market ETF,"$15,879,925.93 ","884,819"
IVE,iShares S&P 500 Value ETF,"$15,696,287.74 ","547,088"
IXUS,iShares Core MSCI Total International Stock ETF,"$15,484,365.15 ","915,141"
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,"$15,300,228.25 ","4,094,425"
VV,Vanguard Large Cap ETF,"$14,949,604.56 ","192,044"
